Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
META,0,0,0,56176.927688152005,0,56176.927688152005,Closed
TSLA,270.0,42449.93245044083,93060.86575594542,0,50610.933305504586,50610.933305504586,Open (270 sh)
CRM,285.0,48801.89486837096,93198.14114499989,0,44396.246276628925,44396.246276628925,Open (285 sh)
CSCO,0,0,0,43050.31211082899,0,43050.31211082899,Closed
NOW,0,0,0,40124.56599999999,0,40124.56599999999,Closed
TXN,0,0,0,37187.40851452213,0,37187.40851452213,Closed
GOOGL,0,0,0,36052.61800871999,0,36052.61800871999,Closed
ORCL,0,0,0,29919.544635318045,0,29919.544635318045,Closed
SHOP,807.0,69398.41600000003,93156.72943604835,0,23758.313436048324,23758.313436048324,Open (807 sh)
MSFT,0,0,0,21979.563584392017,0,21979.563584392017,Closed
NFLX,0,0,0,17629.637999999977,0,17629.637999999977,Closed
AVGO,0,0,0,14652.143151156371,0,14652.143151156371,Closed
AAPL,0,0,0,9842.338685332797,0,9842.338685332797,Closed
ADBE,0,0,0,6757.539999999979,0,6757.539999999979,Closed
AMZN,449.0,87482.82464180002,93210.06359390564,0,5727.2389521056175,5727.2389521056175,Open (449 sh)
INTC,3881.0,90547.62100782701,93205.51006910075,0,2657.889061273745,2657.889061273745,Open (3881 sh)
UBER,0,0,0,-6517.619999999995,0,-6517.619999999995,Closed
AMD,0,0,0,-17385.81999999995,0,-17385.81999999995,Closed
QCOM,0,0,0,-23985.88060605398,0,-23985.88060605398,Closed
TOTAL,,,,265483.2797723684,127150.6210315612,392633.90080392954,
